dataSplit,label,Single_cells...Intensity.Spot.Fluorescein..FITC..Mean_mean,Single_cells...Intensity.Spot.DAPI.Mean_mean,Single_cells...FITC_dead.Profile.2.2_mean,Single_cells...Bacteria_CSA.Profile.2.2_mean,Single_cells...FITC_dead.Radial.Relative.Deviation_mean,Single_cells...Intensity.Spot.DAPI.StdDev_mean,Single_cells...FITC_dead.Profile.1.2_mean,Single_cells...Bacteria_CSA.Profile.1.2_mean,Single_cells...FITC_dead.Symmetry.15_mean,Single_cells...FITC_dead.Threshold.Compactness.50._mean,Single_cells...FITC_dead.Radial.Mean_mean,Single_cells...Bacteria_CSA.Symmetry.05_mean,Single_cells...FITC_dead.Threshold.Compactness.60._mean,Single_cells...FITC_dead.Symmetry.02_mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.60._mean,Single_cells...FITC_dead.Symmetry.14_mean,Single_cells...Bacteria.DAPI.Symmetry.02_mean,Single_cells...FITC_dead.Symmetry.04_mean,Single_cells...FITC_dead.Symmetry.05_mean,Single_cells...Bacteria_CSA.Symmetry.03_mean,Single_cells...FITC_dead.Threshold.Compactness.40._mean,Single_cells...FITC_dead.Symmetry.12_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.50._mean,Single_cells...Bacteria_CSA.Symmetry.15_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.60._mean,Single_cells...Bacteria.DAPI.Symmetry.04_mean,Single_cells...Bacteria_CSA.Symmetry.13_mean,Single_cells...Spot.Roundness_mean,Single_cells...Bacteria_CSA.Symmetry.14_mean,Single_cells...Intensity.Spot.Fluorescein..FITC..StdDev_mean,Single_cells...bacteria.Ratio.Width.to.Length_mean,Single_cells...bacteria.Area..µm.._mean,Single_cells...Bacteria.DAPI.Symmetry.05_mean,Single_cells...Bacteria.DAPI.Symmetry.15_mean,Single_cells...bacteria.Width..µm._mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.30._mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.50._mean,Single_cells...Bacteria.DAPI.Profile.2.2_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.30._mean,Single_cells...Bacteria_CSA.Axial.Length.Ratio_mean,Single_cells...FITC_dead.Axial.Small.Length_mean,Single_cells...FITC_dead.Axial.Length.Ratio_mean,Single_cells...bacteria.Roundness_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.40._mean,Single_cells...Bacteria_CSA.Symmetry.04_mean,Single_cells...Spot.Area..µm.._mean,Single_cells...Bacteria.DAPI.Symmetry.13_mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.40._mean,Single_cells...Bacteria.DAPI.Axial.Small.Length_mean,Single_cells...Bacteria.DAPI.Radial.Mean_mean,Single_cells...Bacteria.DAPI.Radial.Relative.Deviation_mean,Single_cells...Bacteria.DAPI.Profile.1.2_mean,Single_cells...Bacteria_CSA.Symmetry.02_mean,Single_cells...Bacteria_CSA.Symmetry.12_mean,Single_cells...Bacteria_CSA.Radial.Mean_mean,Single_cells...Bacteria_CSA.Radial.Relative.Deviation_mean,Single_cells...FITC_dead.Symmetry.03_mean,Single_cells...FITC_dead.Symmetry.13_mean,Single_cells...Bacteria.DAPI.Axial.Length.Ratio_mean,Single_cells...Bacteria.DAPI.Symmetry.14_mean,Single_cells...bacteria.Length..µm._mean,Single_cells...Bacteria.DAPI.Symmetry.03_mean,Single_cells...Bacteria.DAPI.Symmetry.12_mean,Single_cells...Bacteria_CSA.Axial.Small.Length_mean,Single_cells...FITC_dead.Threshold.Compactness.30._mean
training,Susceptible,176.5756,407.3574,1.068943,1.162084,0.4276418,178.31686,0.9836409,0.9620237,0.02859893,1.0736593,6.612068,0.02038247,1.0659931,0.3006195,1.0135443,0.1233261,0.3455693,0.06942245,0.01982353,0.0255566,1.0743665,0.42166,1.0600087,0.02987544,1.0394521,0.09970488,0.03782421,0.9151028,0.1362713,56.71826,0.5106763,2.461261,0.02381912,0.03008791,1.1372104,1.0556814,1.0244723,1.39893,1.0703739,0.5449421,4.848625,0.5600789,0.9151028,1.0664819,0.07689814,2.461261,0.03513706,1.0408576,4.284769,6.008255,0.4636358,0.9088698,0.3161251,0.4412275,6.458906,0.4276708,0.02549717,0.03597616,0.534453,0.1572423,2.293088,0.02728505,0.4628487,4.629474,1.0738824
training,Susceptible,160.127,358.4863,1.055807,1.190821,0.4232976,142.95777,0.9864437,0.9541542,0.02981437,1.0748151,6.717888,0.01991203,1.0689241,0.2967204,1.0109923,0.1257732,0.3392649,0.07100098,0.02034595,0.02475894,1.0750015,0.4174842,1.0656336,0.02946376,1.0523752,0.09753955,0.03799652,0.9162031,0.1380357,40.60959,0.5160213,2.520608,0.02222887,0.03034178,1.1579766,1.0547661,1.0223781,1.356092,1.0706293,0.5504607,4.932275,0.5634493,0.9162031,1.0683877,0.07956797,2.520608,0.03621059,1.037775,4.40377,6.163612,0.4593233,0.9170098,0.3121305,0.434897,6.459614,0.4340026,0.02647457,0.0374998,0.5383602,0.1561655,2.317323,0.02749678,0.4567238,4.666108,1.0738769
training,Susceptible,162.8618,380.1513,1.049498,1.176562,0.4260703,143.0659,0.9881955,0.958277,0.03155318,1.065442,6.703496,0.02068502,1.060159,0.3029213,1.0063768,0.1334508,0.3426644,0.07555254,0.0215474,0.02606163,1.0652039,0.42556,1.0627559,0.03134591,1.0494651,0.10189521,0.03969309,0.9062158,0.1456888,44.79448,0.5070601,2.493067,0.02382464,0.0331012,1.1371519,1.0487243,1.0169624,1.337237,1.0618786,0.5440431,4.864925,0.5563121,0.9062158,1.0644894,0.08402036,2.493067,0.03909952,1.0335489,4.378152,6.191473,0.45999,0.9249196,0.3183863,0.4422599,6.475282,0.4353856,0.02778825,0.03921081,0.5319734,0.1636948,2.326807,0.0288132,0.4629989,4.625277,1.0652756
training,Susceptible,158.4182,435.7542,1.060818,1.135205,0.427489,185.38743,0.9864352,0.9690671,0.02746709,1.0707863,6.525662,0.01931647,1.0561776,0.3127156,1.0145621,0.1328585,0.3560789,0.07455762,0.01917465,0.02372642,1.0710169,0.4365728,1.061096,0.02820888,1.04103,0.10594786,0.03479166,0.9115802,0.1447306,39.71691,0.5022752,2.352893,0.02205061,0.02801955,1.1030163,1.0558678,1.0241253,1.397018,1.067805,0.5348606,4.707844,0.5481293,0.9115802,1.0645471,0.0813001,2.352893,0.0323836,1.0408883,4.146958,5.911876,0.464252,0.9139544,0.325819,0.4532218,6.411569,0.4261067,0.02406122,0.03335737,0.5233605,0.1672726,2.255936,0.02517844,0.4759477,4.52105,1.0716998
training,Susceptible,176.5756,407.3574,1.068943,1.162084,0.4276418,178.31686,0.9836409,0.9620237,0.02859893,1.0736593,6.612068,0.02038247,1.0659931,0.3006195,1.0135443,0.1233261,0.3455693,0.06942245,0.01982353,0.0255566,1.0743665,0.42166,1.0600087,0.02987544,1.0394521,0.09970488,0.03782421,0.9151028,0.1362713,56.71826,0.5106763,2.461261,0.02381912,0.03008791,1.1372104,1.0556814,1.0244723,1.39893,1.0703739,0.5449421,4.848625,0.5600789,0.9151028,1.0664819,0.07689814,2.461261,0.03513706,1.0408576,4.284769,6.008255,0.4636358,0.9088698,0.3161251,0.4412275,6.458906,0.4276708,0.02549717,0.03597616,0.534453,0.1572423,2.293088,0.02728505,0.4628487,4.629474,1.0738824
training,Susceptible,160.127,358.4863,1.055807,1.190821,0.4232976,142.95777,0.9864437,0.9541542,0.02981437,1.0748151,6.717888,0.01991203,1.0689241,0.2967204,1.0109923,0.1257732,0.3392649,0.07100098,0.02034595,0.02475894,1.0750015,0.4174842,1.0656336,0.02946376,1.0523752,0.09753955,0.03799652,0.9162031,0.1380357,40.60959,0.5160213,2.520608,0.02222887,0.03034178,1.1579766,1.0547661,1.0223781,1.356092,1.0706293,0.5504607,4.932275,0.5634493,0.9162031,1.0683877,0.07956797,2.520608,0.03621059,1.037775,4.40377,6.163612,0.4593233,0.9170098,0.3121305,0.434897,6.459614,0.4340026,0.02647457,0.0374998,0.5383602,0.1561655,2.317323,0.02749678,0.4567238,4.666108,1.0738769
training,Resistant,202.1473,503.6348,1.092544,1.13169,0.4657891,220.52648,0.9752688,0.9635119,0.0444698,0.9974218,8.902579,0.02892012,0.9729105,0.4071687,0.9693081,0.2620595,0.4286574,0.16468862,0.02832743,0.02737111,0.9990016,0.5461934,0.9795748,0.04815412,0.9491305,0.18115982,0.04464256,0.8459839,0.2776883,65.06529,0.4211542,3.770333,0.02704564,0.04212784,1.2212209,0.9851814,0.9747545,1.354022,0.993239,0.4471518,5.141524,0.4572611,0.8459839,0.9874758,0.17789152,3.770333,0.03878753,0.9788938,4.619484,8.059894,0.4979361,0.9030614,0.4223648,0.5603131,8.962948,0.4572523,0.02779939,0.04173384,0.4447878,0.2789483,3.281404,0.02712001,0.5656329,5.011971,0.9992625
training,Resistant,229.7179,562.5174,1.1126,1.095779,0.4670902,259.3791,0.9698311,0.9738959,0.04205899,0.9893411,8.916084,0.02896938,0.939226,0.4152763,0.975489,0.2657656,0.4288288,0.16828455,0.02728852,0.02545513,0.9951592,0.5538254,0.9598916,0.04657307,0.8955132,0.18092139,0.03994489,0.8469994,0.2794215,82.77668,0.4187173,3.799964,0.02525447,0.03891693,1.2199457,0.988439,0.982173,1.37202,0.990202,0.44312,5.104328,0.4525057,0.8469994,0.9794348,0.17809497,3.799964,0.03321262,0.9853932,4.582147,7.978397,0.5008749,0.8962521,0.4263946,0.5653918,9.135042,0.4499194,0.02504215,0.03658099,0.444792,0.2787431,3.298978,0.02373238,0.5659235,5.044532,0.9961469
training,Resistant,184.324,548.5746,1.080449,1.11163,0.466735,229.82899,0.978835,0.9693742,0.04509873,0.9826786,9.080312,0.02989349,0.9547678,0.4298053,0.9532029,0.2883595,0.4479697,0.18399818,0.02896439,0.02505113,0.9842245,0.5707312,0.9711363,0.04929818,0.9462611,0.20111899,0.04102042,0.8332734,0.3013574,48.41767,0.404088,3.752228,0.02717295,0.04233127,1.1943703,0.9714996,0.9583873,1.346576,0.9807229,0.4308197,5.042414,0.438104,0.8332734,0.9781639,0.19507547,3.752228,0.0364042,0.9655282,4.525783,8.210374,0.5003617,0.9077434,0.4395119,0.5797644,9.113159,0.4609718,0.02549012,0.03763052,0.4274782,0.3053856,3.347929,0.02513638,0.5866883,4.929225,0.9840099
training,Resistant,196.0331,576.6817,1.096821,1.094611,0.4654462,245.83137,0.9749567,0.974916,0.04473114,0.9857248,8.89639,0.03063274,0.9376622,0.4171947,0.9652532,0.272062,0.4335462,0.17306724,0.0290143,0.02762865,0.989096,0.5556863,0.9713454,0.04968937,0.9208591,0.18745394,0.04338482,0.8397285,0.285329,61.45546,0.4142625,3.693334,0.02671287,0.04223653,1.1961095,0.9811809,0.9707804,1.349361,0.9814864,0.4418106,5.048232,0.4507496,0.8397285,0.9787037,0.18300137,3.693334,0.03612168,0.9759545,4.549675,8.043846,0.4971183,0.9058856,0.4274832,0.5665489,9.050945,0.4533881,0.02550066,0.03815038,0.4414374,0.2868475,3.279225,0.02465744,0.5701,4.970203,0.9897
training,Resistant,296.797,539.6085,1.154722,1.093015,0.4711608,241.83133,0.9603954,0.9757403,0.04145208,1.0087117,8.298014,0.03108183,0.969744,0.3930566,0.9899014,0.2417532,0.4083025,0.15072597,0.02686258,0.03109625,1.0123184,0.5290049,0.9791686,0.04926086,0.9109018,0.16087936,0.0472381,0.8562601,0.2546781,153.30004,0.4321902,3.539071,0.02570654,0.03953546,1.2032668,1.0042277,0.9973496,1.366451,1.0003992,0.4603373,4.969979,0.4719988,0.8562601,0.9936976,0.15957638,3.539071,0.038064,1.0015478,4.568168,7.586632,0.4945216,0.9018306,0.4060874,0.543992,8.643983,0.4460529,0.02697502,0.04003829,0.4633212,0.2518706,3.110562,0.02657878,0.5431626,5.003814,1.0138443
training,Resistant,261.7028,509.9514,1.126388,1.117978,0.4707172,221.63553,0.9676408,0.9690321,0.04323307,1.0111727,8.26202,0.02946173,0.9911792,0.3902416,0.9802506,0.2433495,0.4133649,0.15110256,0.02775619,0.02886512,1.0132117,0.5266807,0.9896084,0.04813734,0.9623473,0.16645009,0.04595597,0.8548523,0.2574872,126.29076,0.4318616,3.48112,0.02735463,0.04179277,1.192029,0.9981653,0.98785,1.357761,1.0018057,0.461261,4.951419,0.4727027,0.8548523,0.9969741,0.16263427,3.48112,0.03998169,0.9924767,4.523797,7.609687,0.4932468,0.9067459,0.4061435,0.5430149,8.499083,0.4520151,0.02774342,0.04155344,0.4590462,0.258904,3.092159,0.02789141,0.5484344,4.9237,1.0120651
training,Resistant,243.446,546.6045,1.128588,1.089008,0.4662265,240.20363,0.9669052,0.9764633,0.0417428,1.0091266,8.291896,0.03046609,0.9697439,0.3840497,0.9877521,0.2336695,0.4029057,0.14550951,0.02665504,0.02998329,1.0149598,0.5178141,0.9827199,0.04802672,0.9231235,0.1591877,0.04584633,0.8585031,0.2481613,110.74239,0.4392821,3.497729,0.02511019,0.03821137,1.2056115,1.0040235,0.9968138,1.366236,1.0045598,0.4680201,5.029883,0.4814064,0.8585031,0.9940829,0.15616775,3.497729,0.03709616,1.0009001,4.577785,7.581114,0.4915762,0.9023,0.399368,0.5352554,8.586161,0.443644,0.0271694,0.04086207,0.4701868,0.2480056,3.079822,0.02568688,0.5355713,5.014746,1.0163481
