dataSplit,label,Single_cells...Intensity.Spot.Fluorescein..FITC..Mean_mean,Single_cells...Intensity.Spot.DAPI.Mean_mean,Single_cells...FITC_dead.Profile.2.2_mean,Single_cells...Bacteria_CSA.Profile.2.2_mean,Single_cells...FITC_dead.Radial.Relative.Deviation_mean,Single_cells...Intensity.Spot.DAPI.StdDev_mean,Single_cells...FITC_dead.Profile.1.2_mean,Single_cells...Bacteria_CSA.Profile.1.2_mean,Single_cells...FITC_dead.Symmetry.15_mean,Single_cells...FITC_dead.Threshold.Compactness.50._mean,Single_cells...FITC_dead.Radial.Mean_mean,Single_cells...Bacteria_CSA.Symmetry.05_mean,Single_cells...FITC_dead.Threshold.Compactness.60._mean,Single_cells...FITC_dead.Symmetry.02_mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.60._mean,Single_cells...FITC_dead.Symmetry.14_mean,Single_cells...Bacteria.DAPI.Symmetry.02_mean,Single_cells...FITC_dead.Symmetry.04_mean,Single_cells...FITC_dead.Symmetry.05_mean,Single_cells...Bacteria_CSA.Symmetry.03_mean,Single_cells...FITC_dead.Threshold.Compactness.40._mean,Single_cells...FITC_dead.Symmetry.12_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.50._mean,Single_cells...Bacteria_CSA.Symmetry.15_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.60._mean,Single_cells...Bacteria.DAPI.Symmetry.04_mean,Single_cells...Bacteria_CSA.Symmetry.13_mean,Single_cells...Spot.Roundness_mean,Single_cells...Bacteria_CSA.Symmetry.14_mean,Single_cells...Intensity.Spot.Fluorescein..FITC..StdDev_mean,Single_cells...bacteria.Ratio.Width.to.Length_mean,Single_cells...bacteria.Area..µm.._mean,Single_cells...Bacteria.DAPI.Symmetry.05_mean,Single_cells...Bacteria.DAPI.Symmetry.15_mean,Single_cells...bacteria.Width..µm._mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.30._mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.50._mean,Single_cells...Bacteria.DAPI.Profile.2.2_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.30._mean,Single_cells...Bacteria_CSA.Axial.Length.Ratio_mean,Single_cells...FITC_dead.Axial.Small.Length_mean,Single_cells...FITC_dead.Axial.Length.Ratio_mean,Single_cells...bacteria.Roundness_mean,Single_cells...Bacteria_CSA.Threshold.Compactness.40._mean,Single_cells...Bacteria_CSA.Symmetry.04_mean,Single_cells...Spot.Area..µm.._mean,Single_cells...Bacteria.DAPI.Symmetry.13_mean,Single_cells...Bacteria.DAPI.Threshold.Compactness.40._mean,Single_cells...Bacteria.DAPI.Axial.Small.Length_mean,Single_cells...Bacteria.DAPI.Radial.Mean_mean,Single_cells...Bacteria.DAPI.Radial.Relative.Deviation_mean,Single_cells...Bacteria.DAPI.Profile.1.2_mean,Single_cells...Bacteria_CSA.Symmetry.02_mean,Single_cells...Bacteria_CSA.Symmetry.12_mean,Single_cells...Bacteria_CSA.Radial.Mean_mean,Single_cells...Bacteria_CSA.Radial.Relative.Deviation_mean,Single_cells...FITC_dead.Symmetry.03_mean,Single_cells...FITC_dead.Symmetry.13_mean,Single_cells...Bacteria.DAPI.Axial.Length.Ratio_mean,Single_cells...Bacteria.DAPI.Symmetry.14_mean,Single_cells...bacteria.Length..µm._mean,Single_cells...Bacteria.DAPI.Symmetry.03_mean,Single_cells...Bacteria.DAPI.Symmetry.12_mean,Single_cells...Bacteria_CSA.Axial.Small.Length_mean,Single_cells...FITC_dead.Threshold.Compactness.30._mean
training,Resistant,231.1949,511.9049,1.112575,1.114731,0.4670977,215.0396,0.9715797,0.9703868,0.04230448,1.0134747,8.235554,0.02833044,0.992036,0.3893106,0.9797462,0.241371,0.4163539,0.14967123,0.02674833,0.02728592,1.0151369,0.5258616,0.9958755,0.04618874,0.9673389,0.16922304,0.04334096,0.8531754,0.2552002,97.01062,0.432154,3.396485,0.02694523,0.04122312,1.1807937,0.9966026,0.9868244,1.352505,1.0022454,0.4626174,4.92798,0.4734008,0.8531754,1.0004599,0.16064517,3.396485,0.03820158,0.9905062,4.476671,7.613128,0.4913754,0.9100308,0.4034019,0.5405491,8.414032,0.4525868,0.02748774,0.03997286,0.4565665,0.2623146,3.066034,0.02694922,0.5516116,4.880815,1.0150941
training,Susceptible,171.2965894,324.7183239,1.073921143,1.213675104,0.417247389,130.7944103,0.982946347,0.951133847,0.02131582,1.089422951,6.398230874,0.015592318,1.08588743,0.280404287,1.067044675,0.102616866,0.292670841,0.056284319,0.015912545,0.019983174,1.089518872,0.396844942,1.078539522,0.020686097,1.069418655,0.066973059,0.02857602,0.932929263,0.120085872,45.48460739,0.53530481,2.332879336,0.018551457,0.020877095,1.142971465,1.083105546,1.071560869,1.350555924,1.089325767,0.560495768,4.841463083,0.580447993,0.932929263,1.083315017,0.066890175,2.332879336,0.02706015,1.077439644,4.426824714,5.7908431,0.459799598,0.920516643,0.302130965,0.423050907,6.118864345,0.424933801,0.020254217,0.028574733,0.577877751,0.111900432,2.179994559,0.022379725,0.404844659,4.51342468,1.08945116
training,Susceptible,179.7420148,296.0739266,1.066766003,1.242308982,0.416336388,108.7786927,0.983999992,0.942214743,0.022416014,1.08823032,6.532367114,0.016176333,1.084239325,0.276748743,1.056240312,0.104841331,0.287677953,0.057669918,0.015488805,0.019762796,1.088710343,0.393315432,1.080399933,0.021821898,1.07160027,0.065642754,0.029886582,0.933098079,0.122051884,50.54242601,0.536340929,2.434281424,0.018595412,0.022373517,1.171606932,1.082348086,1.068174547,1.305871712,1.088437391,0.563588347,4.953095479,0.582699974,0.933098079,1.083922196,0.069509588,2.434281424,0.02924261,1.074615762,4.58709783,5.997845962,0.453867012,0.927649764,0.300156933,0.419425675,6.185350153,0.432025858,0.021016447,0.029878326,0.5799044,0.111783175,2.228986914,0.02444587,0.400820735,4.592259565,1.0896763
training,Susceptible,160.2122884,280.4049467,1.058243484,1.247456896,0.416415842,99.20647335,0.985678283,0.940684584,0.021846339,1.086146565,6.531507223,0.01579287,1.08198079,0.277698249,1.050082525,0.105446319,0.28680536,0.057731424,0.015515734,0.019951596,1.085727934,0.395563831,1.07584668,0.021524061,1.070771027,0.064198508,0.030804566,0.930017419,0.122473935,40.72606513,0.536025937,2.435572487,0.018032375,0.021871124,1.172956678,1.080395634,1.061451646,1.289138249,1.08529769,0.562470021,4.956883527,0.580579341,0.930017419,1.081408823,0.069676021,2.435572487,0.02945083,1.071183245,4.618428187,6.02381556,0.452235516,0.931863492,0.300604182,0.420608771,6.162120353,0.43388429,0.021260006,0.030019699,0.579250477,0.110428331,2.226269484,0.024235542,0.40098328,4.58466725,1.08654215
training,Susceptible,171.5451722,315.3303779,1.062356737,1.219068781,0.417543812,124.8038089,0.98551732,0.950029542,0.021718441,1.084771363,6.421040184,0.015278487,1.084467062,0.287414279,1.056219236,0.106403945,0.298247319,0.057917301,0.016062891,0.018704513,1.086212901,0.40596078,1.075310278,0.020432024,1.067836737,0.06803332,0.027730446,0.929832469,0.124246595,45.51017346,0.529043503,2.32966721,0.018129194,0.019853304,1.134752877,1.080099104,1.067979558,1.344019128,1.086318768,0.553964608,4.817319575,0.572955142,0.929832469,1.080809446,0.068909737,2.32966721,0.025234074,1.071745121,4.411995024,5.809291746,0.460170548,0.922594242,0.308479193,0.430931095,6.111312412,0.427519212,0.01981306,0.027506806,0.57202665,0.113709353,2.185523067,0.021316258,0.411882892,4.475293428,1.085905977
training,Resistant,597.3228495,407.0822117,1.077284122,1.120755205,0.454697358,92.69816497,0.986164118,0.973251845,0.03987031,0.972453193,7.701017289,0.026597509,0.973586855,0.419574606,0.956373489,0.262511783,0.42319813,0.168867126,0.027803263,0.025380616,0.979047795,0.55871085,0.971576343,0.038927578,0.959926778,0.173932783,0.035101378,0.822707743,0.27543732,160.2619133,0.400271945,2.648660807,0.025044624,0.037096281,0.996492335,0.976475585,0.968774192,1.196850114,0.9780374,0.441618224,4.366065763,0.447365345,0.822707743,0.975890554,0.176933637,2.648660807,0.036319936,0.969899006,4.211056921,7.431610211,0.473962332,0.964654461,0.424537002,0.565453389,7.608222921,0.458913576,0.028660037,0.038248234,0.446117642,0.269882852,2.79825043,0.026735248,0.560889158,4.265038395,0.976893243
training,Resistant,705.6999764,419.698487,1.069036876,1.131208821,0.46195791,94.59911831,0.988873841,0.972772111,0.040958575,0.969851032,7.602047021,0.027921324,0.955365106,0.416575996,0.933792285,0.288452785,0.4286408,0.188035279,0.025802629,0.028814795,0.970236365,0.553948613,0.966398053,0.044264329,0.94099311,0.196529711,0.043278313,0.809828714,0.30284742,224.7013458,0.388711408,2.471865948,0.025705274,0.040571814,0.952274777,0.965037401,0.952107526,1.188948834,0.961806469,0.435832604,4.236088667,0.4473168,0.809828714,0.966746197,0.197091824,2.471865948,0.04105412,0.960827009,4.071079438,7.394386313,0.477704465,0.967567068,0.432343768,0.571206381,7.515605229,0.465350454,0.029728087,0.043331542,0.441328515,0.296470059,2.788334621,0.028606034,0.564643252,4.095240979,0.973626177
training,Resistant,321.6093716,416.2062986,1.05611181,1.134804452,0.465223192,97.2902552,0.990051535,0.967303085,0.053922422,1.000481003,7.42021244,0.033509169,0.982912566,0.38319238,0.9638999,0.243179187,0.406722642,0.1499421,0.030689099,0.026795445,1.00912108,0.523573869,0.989502376,0.056528257,0.979680595,0.157871171,0.04415352,0.834961666,0.254116272,163.2739845,0.421827719,2.729043501,0.032573557,0.052859369,1.054720615,0.98974821,0.970169121,1.180094211,0.98803457,0.454772992,4.53836672,0.470508012,0.834961666,0.991486904,0.160369564,2.729043501,0.045063729,0.984120953,4.43741184,7.30276892,0.46853012,0.965465548,0.414026014,0.55230867,7.41074432,0.461190896,0.033557446,0.050387163,0.462996176,0.249060235,2.733042061,0.031118752,0.542322595,4.4094726,1.00600049
training,Resistant,211.4734881,391.3548526,1.031902381,1.154520439,0.443100987,99.83865199,0.99300382,0.962413201,0.042466786,1.024543285,6.790908043,0.033346284,1.029551459,0.341061012,0.988798401,0.180214185,0.352744688,0.105169453,0.027356087,0.034479379,1.037515328,0.476862606,1.030050027,0.050409102,1.014329089,0.112271986,0.049484674,0.873172302,0.197917503,127.4345856,0.459285475,2.489596185,0.031725577,0.046663249,1.093727882,1.024774147,1.000626775,1.198291304,1.028238459,0.493501174,4.685064087,0.510831161,0.873172302,1.020350171,0.117903572,2.489596185,0.0495575,1.017040185,4.546784391,6.55269613,0.459086461,0.959780452,0.365124487,0.502292028,6.643839217,0.451655217,0.032055104,0.045986568,0.508543739,0.186515701,2.429872855,0.037685148,0.484564634,4.476106043,1.036643589
training,Susceptible,147.2177608,268.2984735,1.039952676,1.201930559,0.414219527,92.46004814,0.990758681,0.954424581,0.022967186,1.081206605,6.536190951,0.015823137,1.079592313,0.28966584,1.04900204,0.110070853,0.297758733,0.060012009,0.016295832,0.020192872,1.081802146,0.409749825,1.072217376,0.022296759,1.061691208,0.067745651,0.029870481,0.924851426,0.130081109,20.93358271,0.523542714,2.33498649,0.018823765,0.021967787,1.130327624,1.077704475,1.057585889,1.285512186,1.081315303,0.549117217,4.846828088,0.569193362,0.924851426,1.076730751,0.073313084,2.33498649,0.028125743,1.063883934,4.490182422,5.978675353,0.454741196,0.936431097,0.313166575,0.436468443,6.200662873,0.425720446,0.020939298,0.029301463,0.569070567,0.115781933,2.211801873,0.02219381,0.413345365,4.485050804,1.082036069
training,Susceptible,141.7050898,251.3510563,1.033077177,1.229522327,0.413258465,80.08535143,0.992364166,0.947731635,0.024012209,1.084827026,6.569103604,0.016731107,1.084406492,0.284698265,1.044377168,0.109148742,0.292787686,0.059669304,0.016931422,0.021247341,1.084901001,0.404484231,1.074578323,0.023438825,1.067393223,0.066296624,0.032523204,0.926284418,0.128583036,20.24505538,0.527487677,2.374265736,0.018694208,0.023626604,1.141636471,1.080399245,1.055187478,1.256627619,1.082600311,0.553966692,4.889751093,0.572817252,0.926284418,1.078229001,0.073689888,2.374265736,0.030603159,1.06636841,4.562627403,6.08051789,0.449889676,0.942025259,0.309656801,0.43092247,6.19021895,0.43167617,0.022696703,0.031728891,0.572144325,0.114232632,2.227686429,0.024435532,0.408787312,4.5041829,1.085250222
training,Susceptible,152.1264078,261.7766385,1.035061771,1.215812528,0.41422187,87.85384154,0.992100939,0.950582237,0.024791609,1.081316491,6.637921467,0.016647901,1.079407142,0.292380181,1.039651956,0.114229978,0.301558445,0.062574646,0.017232763,0.020582312,1.08046326,0.413107057,1.070955098,0.024116732,1.058055008,0.071676177,0.030858603,0.9247589,0.13388842,21.34551525,0.522119044,2.409538794,0.019607637,0.023805012,1.142055719,1.077341912,1.054801273,1.271340525,1.080670327,0.547382125,4.900421878,0.566605527,0.9247589,1.077422774,0.076068831,2.409538794,0.029009758,1.065947081,4.549404435,6.106454124,0.452804595,0.939338258,0.31548494,0.438937289,6.257065152,0.42968351,0.021813413,0.030764221,0.565745248,0.121220468,2.249232227,0.022838927,0.417844187,4.513578615,1.081223699
training,Susceptible,142.4070496,242.3791043,1.026849061,1.24095795,0.414306201,72.89337205,0.993629311,0.943103091,0.02635078,1.076792363,6.794072517,0.017692923,1.077439627,0.291003266,1.033235769,0.116004607,0.29942217,0.063412864,0.018085283,0.021743249,1.076896036,0.412859384,1.067160304,0.025304087,1.057825617,0.070625967,0.032384526,0.921534096,0.135225252,18.27683504,0.520758758,2.528553272,0.019998931,0.025201874,1.164764201,1.072767557,1.044753469,1.236315708,1.076471494,0.548167083,5.014185716,0.565772335,0.921534096,1.071173061,0.07765114,2.528553272,0.03076915,1.059497931,4.695520013,6.312075214,0.448674875,0.945040498,0.315614203,0.438083434,6.344167715,0.436631029,0.022940819,0.032148821,0.565026567,0.121616772,2.299729475,0.024859047,0.417253125,4.593442876,1.077076336
training,Resistant,1191.853218,609.7394175,1.166229808,1.09155883,0.486759564,139.1516584,0.975721564,0.986168928,0.052335735,0.982372386,7.13733875,0.042188688,0.979850144,0.375409188,0.883298391,0.244589552,0.423595562,0.159358193,0.034901366,0.051823892,0.982600518,0.50136033,0.972101711,0.065805761,0.973349698,0.187319809,0.071062243,0.773873717,0.258451756,688.8034096,0.390489268,2.668086006,0.047608397,0.071035445,0.963739626,0.930486683,0.913097399,1.187973936,0.95997781,0.474351064,4.39100408,0.494907187,0.773873717,0.966748421,0.166348903,2.668086006,0.075953711,0.925941112,4.469226438,7.646136009,0.464216688,0.970419076,0.391521133,0.525959666,7.642638455,0.468380948,0.043680793,0.060313119,0.4594771,0.27918396,2.807443304,0.05809963,0.551937287,4.590490938,0.986446194
training,Resistant,1210.869771,572.0668373,1.15386501,1.097422424,0.488766223,129.0245965,0.97521988,0.98359533,0.054538365,1.01113697,6.662890435,0.042243729,1.020860398,0.355393564,0.915107728,0.224347879,0.403819107,0.146501851,0.033637423,0.052589448,1.010706024,0.478518241,1.003688979,0.066783419,0.980861321,0.179034615,0.071560273,0.795855086,0.24705846,650.6858199,0.409034872,2.450895303,0.043990043,0.067806248,0.963001075,0.953621248,0.933483411,1.189715667,0.971013266,0.48641231,4.26321862,0.511552299,0.795855086,0.994945485,0.160517501,2.450895303,0.072768297,0.949537335,4.330220141,7.187639783,0.4633151,0.96957687,0.382683584,0.512750933,7.221024348,0.463933152,0.047276009,0.068061899,0.473738807,0.266819815,2.641908124,0.055730806,0.532663044,4.43892012,1.012784148
training,Resistant,766.1470976,582.7625946,1.137095758,1.067690178,0.490994949,129.7503217,0.978769108,0.989457178,0.061636281,0.984586347,7.778175455,0.046969021,0.983707178,0.390929348,0.866729204,0.261276283,0.448202952,0.168533013,0.038757257,0.053406399,0.97987486,0.520153749,0.966122299,0.075198593,0.970263798,0.199491551,0.077402868,0.764817956,0.275390114,383.095899,0.370156538,2.72203309,0.048425212,0.075658511,0.941064798,0.921413815,0.891119547,1.187494822,0.932306702,0.453786892,4.474697911,0.477636866,0.764817956,0.958970974,0.178786387,2.72203309,0.076072003,0.91628767,4.489906307,8.249714149,0.465552356,0.972338875,0.413936913,0.550723975,8.316089554,0.466852244,0.044448587,0.067324657,0.435601381,0.298259423,3.016636759,0.054769236,0.580812577,4.666400129,0.982048734
training,Resistant,746.7905355,610.0913067,1.11597588,1.052920118,0.480573615,137.1561042,0.983528165,0.992441791,0.049203166,0.982246621,8.018280219,0.038987124,0.985376407,0.418328605,0.87981145,0.269832536,0.455538195,0.176999331,0.032608403,0.048039058,0.978172403,0.549102173,0.960888927,0.058496557,0.964004532,0.2006846,0.06416974,0.775286214,0.271732423,337.0781277,0.369254736,2.70626508,0.040952713,0.059822134,0.898105766,0.933539303,0.908419134,1.196540394,0.93949663,0.444020104,4.28874519,0.456106394,0.775286214,0.945852384,0.177513464,2.70626508,0.058483414,0.930652014,4.242809752,8.256880088,0.467165154,0.972515965,0.42373932,0.563065594,8.387481277,0.462942201,0.042067485,0.057303286,0.426918849,0.296741745,3.039921811,0.044755069,0.590430352,4.45275508,0.967901241
training,Susceptible,133.6815883,234.3924264,1.015723658,1.202104154,0.413395422,58.74149187,0.996609566,0.954663825,0.029186129,1.071167559,6.631079762,0.018971699,1.070439848,0.299151243,1.015732839,0.121053034,0.301868625,0.066247575,0.019708144,0.023560313,1.070771713,0.423005976,1.063677663,0.028276963,1.054174463,0.071370118,0.036323042,0.913982065,0.140348572,9.840259605,0.511812544,2.348674352,0.02149515,0.029416273,1.118702875,1.068450374,1.036305779,1.19678185,1.070701351,0.54154233,4.844678685,0.557654908,0.913982065,1.068043946,0.081196248,2.348674352,0.036365455,1.054044004,4.581334789,6.203456008,0.445935021,0.957375529,0.322013464,0.446065681,6.252804334,0.432919708,0.025653491,0.035937296,0.558627406,0.124494006,2.239856846,0.027473814,0.423092144,4.479465924,1.070850916
training,Susceptible,142.4519805,243.0873449,1.021069056,1.17979799,0.413386745,67.3075211,0.995521491,0.960912056,0.025504986,1.075252686,6.482285274,0.017438997,1.075281279,0.29783914,1.037931875,0.116507177,0.301019273,0.063017737,0.017845065,0.021621906,1.075668059,0.421111487,1.066333729,0.024977473,1.051946369,0.06903488,0.032272285,0.917605993,0.138113894,12.93194126,0.513511021,2.262525024,0.019932218,0.025388534,1.101386904,1.072582778,1.047000581,1.229806774,1.07509297,0.540434616,4.766682646,0.559517058,0.917605993,1.072651022,0.078778156,2.262525024,0.031544329,1.05724911,4.471814966,6.000059648,0.450675599,0.951511263,0.323197679,0.447723081,6.168472218,0.425599992,0.022647127,0.03174902,0.560938515,0.120226599,2.186557896,0.024092908,0.421058173,4.422933595,1.075562537
training,Susceptible,133.6054182,236.9448098,1.020667171,1.19593335,0.412044225,69.30457877,0.995433097,0.956865175,0.023199555,1.077659755,6.540663385,0.016354088,1.076442754,0.296228691,1.04561556,0.111911828,0.299150359,0.060015914,0.016427878,0.019749828,1.077707003,0.418761546,1.067854729,0.022562014,1.056489873,0.065485707,0.02932464,0.921115442,0.134913019,8.162532991,0.516836301,2.310522172,0.018047151,0.021613714,1.113912115,1.074829212,1.051814382,1.245242424,1.077795087,0.540821185,4.826257875,0.561765494,0.921115442,1.073768816,0.076388317,2.310522172,0.027263156,1.059900126,4.505871869,6.011018733,0.451296611,0.946555962,0.323288823,0.447686915,6.186388567,0.425721132,0.020604996,0.028635094,0.564246789,0.114932171,2.196362536,0.022072743,0.417935392,4.444773179,1.077944471
training,Susceptible,127.3859127,214.8364689,1.015935081,1.221967499,0.412246471,54.00185926,0.996332671,0.948913565,0.02540697,1.075576995,6.689794863,0.017854038,1.075087177,0.295865528,1.025208531,0.117646948,0.298328774,0.064059524,0.017609481,0.020705864,1.075828874,0.419097927,1.066249682,0.024960824,1.054959551,0.068371881,0.032099694,0.919784895,0.13876297,7.924274368,0.516640161,2.411448195,0.018516872,0.024142666,1.140284195,1.073084336,1.041728952,1.197302601,1.075643734,0.542786055,4.922810576,0.560813937,0.919784895,1.072319071,0.080138273,2.411448195,0.030805929,1.060168484,4.653994274,6.250670556,0.444445749,0.955093504,0.321575274,0.4449839,6.261558378,0.434369135,0.022697565,0.031747797,0.56243177,0.120493625,2.253813796,0.024046873,0.418755166,4.516439503,1.075757484
training,Resistant,742.9855912,517.3348331,1.111925037,1.078283975,0.493553426,117.1629179,0.983313229,0.985871446,0.059815817,0.920354669,9.00004487,0.0416221,0.92024536,0.457124473,0.861429303,0.346191319,0.479819082,0.232627952,0.039289106,0.034450366,0.922543455,0.596938817,0.915620943,0.068107426,0.911988138,0.253324705,0.05263386,0.738820764,0.352963546,284.6961614,0.350038954,2.944325013,0.041282928,0.064005383,0.931353288,0.891438733,0.876940601,1.195263837,0.903790231,0.404754915,4.298991944,0.41132242,0.738820764,0.915525956,0.237118081,2.944325013,0.048263015,0.89008938,4.252330537,9.036528093,0.491093152,0.969560705,0.463949689,0.605945098,9.231827556,0.484426294,0.032172844,0.045838407,0.397054633,0.367873069,3.485132498,0.036055164,0.617962985,4.389621685,0.923286699
training,Resistant,848.2897051,533.4827026,1.084789867,1.063132417,0.478496629,120.9143695,0.986729799,0.987808656,0.06842219,0.926959582,8.143821111,0.042455014,0.916200504,0.469660402,0.886001955,0.341138046,0.484557531,0.2271689,0.041969432,0.034412944,0.92981112,0.611567785,0.922365627,0.068252025,0.91391534,0.24235963,0.051371796,0.761670729,0.344391968,288.5728229,0.350087884,2.567390698,0.041096856,0.069118609,0.895029051,0.919426051,0.904958551,1.198226907,0.917471604,0.399091649,4.129295143,0.403359517,0.761670729,0.92267907,0.229688649,2.567390698,0.054025767,0.916522722,4.000089508,7.996137667,0.484578162,0.970974397,0.474238355,0.617355262,8.254761857,0.472238692,0.033820022,0.050913056,0.395930014,0.354884836,3.05899082,0.036538097,0.623095314,4.147210365,0.926657564
training,Resistant,841.6071275,569.7702423,1.112428958,1.056927046,0.48120422,121.1690013,0.982696078,0.990344462,0.052496332,0.936533784,7.973261803,0.037900067,0.931038186,0.478700422,0.883231987,0.335632718,0.50210582,0.22497653,0.034004204,0.038725419,0.93772404,0.616312357,0.93843239,0.059242138,0.931421267,0.245594714,0.055409148,0.766670295,0.332474865,299.4266678,0.345721238,2.489652799,0.03535435,0.056918191,0.864951723,0.925219228,0.909562897,1.18330308,0.934527137,0.397300856,3.826378167,0.401740436,0.766670295,0.936938925,0.220103577,2.489652799,0.050153841,0.921531421,3.755657455,7.983635379,0.480461495,0.975932448,0.479858699,0.620754435,8.171478788,0.475565471,0.031749818,0.046331429,0.38523133,0.355603352,3.037093765,0.036882245,0.640187374,3.92962,0.938467515
training,Resistant,855.2418732,622.1426746,1.097248145,1.049333225,0.484167627,139.9159975,0.986591842,0.992296265,0.0579866,0.921031368,8.353203464,0.03791382,0.91812484,0.501510746,0.865791864,0.361268853,0.524595653,0.244541601,0.038081791,0.031501628,0.92390346,0.646040188,0.917795637,0.060311858,0.910814925,0.265841066,0.044908642,0.75127872,0.358944473,293.5371382,0.32888854,2.582338356,0.035299028,0.058663281,0.851012798,0.909156414,0.888957656,1.199391924,0.914945635,0.375463385,3.819587024,0.376077133,0.75127872,0.916476554,0.239989762,2.582338356,0.04446189,0.908571689,3.7018205,8.272839298,0.485737052,0.974817273,0.502103579,0.64748338,8.521788357,0.477835756,0.031415309,0.043455756,0.364207068,0.383617644,3.180794449,0.031200482,0.665405694,3.897844036,0.923389147
test,Susceptible,190.762774,270.6043527,1.064870456,1.228481087,0.426677472,90.39953906,0.986307027,0.949524087,0.024449442,1.076321365,6.486018779,0.018301855,1.075984373,0.299640815,1.046112467,0.12558751,0.310461434,0.069262924,0.017280372,0.021868202,1.077147673,0.424170713,1.061554255,0.026026425,1.050112075,0.07741977,0.033286153,0.915736211,0.14946253,63.12282879,0.509075054,2.345227325,0.019582807,0.024542323,1.117746576,1.068902249,1.055949603,1.271912583,1.072262452,0.532774284,4.740212547,0.555536881,0.915736211,1.067921531,0.087251476,2.345227325,0.030401583,1.061115357,4.446655526,6.04577352,0.456583266,0.940528088,0.331428414,0.456998569,6.221446273,0.437694848,0.021857518,0.031097135,0.552690959,0.132248864,2.247551837,0.024892703,0.431617533,4.413869112,1.07722054
test,Susceptible,217.143607,303.5765374,1.089137183,1.200918541,0.43074711,114.2984283,0.982132504,0.95688732,0.024077042,1.077755516,6.3500635,0.018231561,1.075685776,0.305180781,1.048467002,0.125167705,0.316997096,0.069378079,0.017468337,0.022062244,1.077543287,0.429448794,1.058965426,0.025950653,1.045967787,0.079136739,0.032639178,0.915020813,0.149972877,85.01297546,0.504717553,2.276785078,0.020169109,0.023822137,1.091398592,1.071075388,1.056867233,1.316840578,1.072223611,0.527825936,4.63039267,0.552054257,0.915020813,1.066593411,0.086555024,2.276785078,0.029061261,1.065235363,4.311393066,5.866753736,0.463049694,0.933493933,0.336255748,0.463382177,6.193519944,0.431160701,0.021456953,0.030300501,0.549307492,0.133266874,2.211546485,0.023777221,0.437446857,4.356447229,1.077240917
test,Susceptible,156.243701,279.1509205,1.046981749,1.211823921,0.42252652,101.5996173,0.989336951,0.952226792,0.026146731,1.066405204,6.745135951,0.018107907,1.06277261,0.311693158,1.031844704,0.130728936,0.322706153,0.072744776,0.018255523,0.020881644,1.067241253,0.437801203,1.056174755,0.026040913,1.045802635,0.083572219,0.031323469,0.911585106,0.153594128,28.44116819,0.50040208,2.450626556,0.020296569,0.025226107,1.121241007,1.063053268,1.043514375,1.297830917,1.067171787,0.525257712,4.839714513,0.545577063,0.911585106,1.061055238,0.088428133,2.450626556,0.02885596,1.053616835,4.468533699,6.170578534,0.461328382,0.933871331,0.33692521,0.465523835,6.415363699,0.434386607,0.021711493,0.030457585,0.544085865,0.139478037,2.309270511,0.02378768,0.443968079,4.47584017,1.067668461
test,Susceptible,141.2390314,259.2625068,1.039732776,1.236136304,0.420737563,86.99371596,0.990686132,0.945229169,0.026599929,1.068948632,6.838923414,0.018397039,1.067730395,0.308031606,1.03357089,0.129617179,0.31723248,0.071832837,0.018361866,0.021724488,1.069945153,0.433953994,1.057081613,0.026747395,1.047664021,0.080443203,0.033544059,0.913658059,0.153629192,20.90885312,0.503918469,2.506195969,0.02130221,0.026776311,1.140275301,1.063876992,1.04718287,1.267231102,1.06870979,0.527763148,4.916159979,0.548421937,0.913658059,1.063754375,0.089998929,2.506195969,0.032089862,1.053211697,4.571987686,6.302056545,0.457366023,0.938787541,0.335913246,0.46290635,6.449645654,0.439218688,0.023228399,0.032686086,0.547047422,0.136440661,2.336366586,0.026153079,0.439018317,4.516231277,1.070206748
validation,Susceptible,246.240378,321.5186881,1.083947742,1.202629333,0.421277955,119.3030243,0.981787929,0.954848203,0.02399901,1.082467461,6.311007658,0.017161662,1.072969579,0.285427491,1.054444222,0.108641633,0.299260169,0.059792199,0.017523902,0.021599676,1.085811529,0.403640049,1.074691266,0.023835924,1.06571099,0.070450781,0.031648206,0.926078267,0.124338642,100.9001342,0.528211481,2.294990299,0.019679621,0.022916602,1.125255891,1.078725689,1.062377274,1.318762031,1.082704955,0.55645296,4.754068734,0.57455991,0.926078267,1.079161755,0.069487758,2.294990299,0.029032761,1.069935959,4.407320633,5.823839148,0.456353451,0.930468856,0.305113268,0.42727522,6.093255081,0.427820544,0.02226402,0.030864814,0.569594171,0.118448306,2.170287526,0.023337701,0.414202259,4.481760006,1.086103599
